"File","Type","Missing","ExpectedPath"
"C:\Projects\webact-clean\pages\about-blog-3-tasks-that-help-build-your-digital-marketing-portfolio.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-4-things-that-will-increase-the-load-times-of-your-website.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-5-saas-companies-your-business-should-know-about.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-5-tips-for-making-your-business-virtual.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-5-ways-your-business-data-is-at-risk.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-5-ways-your-web-design-impacts-your-seo.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-a-video-review-by-laura-belgrave.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-advertising-methods-that-can-be-powerful-drivers-of-success.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-common-misunderstandings-businesses-have-about-marketing.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-common-threats-you-need-to-protect-your-website-against.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-creative-outdoor-advertising-methods-you-shouldn-t-miss-out-on.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-domain-names-101.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-features-that-will-help-you-market-your-restaurant-business.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-find-your-perfect-match-best-ai-software-for-small-businesses.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-gain-exposure-for-your-business-with-mapquest-business-listing.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-google-adwords-vs-facebook-ads.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-aged-domains-rank-within-search-engines.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-customer-service-touches-every-aspect-of-your-business.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-effective-is-live-chat-on-your-website.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-information-technology-can-assist-with-online-business-success.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-local-businesses-can-get-the-word-out-about-their-brands.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-small-businesses-can-protect-themselves-from-fraud.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-achieve-a-greater-roi-on-your-marketing-campaign.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-become-a-better-problem-solver-in-your-business.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-build-a-solid-reputation-through-your-marketing-strategy.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-connect-with-your-customers-and-form-lasting-relationships.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-earn-the-trust-of-your-customers.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-get-a-higher-roi-on-your-advertising.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-get-the-exposure-you-need-for-your-website.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-make-content-your-customers-will-be-excited-to-read.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-blog-how-to-market-your-restaurant-on-social-media.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
