"File","Header","Footer","Logo","MainNav","Contact","Phone","FooterLinks"
"index.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-about-us.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-3-tasks-that-help-build-your-digital-marketing-portfolio.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-4-things-that-will-increase-the-load-times-of-your-website.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-blog-5-saas-companies-your-business-should-know-about.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-5-tips-for-making-your-business-virtual.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-5-ways-your-business-data-is-at-risk.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-5-ways-your-web-design-impacts-your-seo.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-a-video-review-by-laura-belgrave.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-advertising-methods-that-can-be-powerful-drivers-of-success.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-common-misunderstandings-businesses-have-about-marketing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-common-threats-you-need-to-protect-your-website-against.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-creative-outdoor-advertising-methods-you-shouldn-t-miss-out-on.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-domain-names-101.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-features-that-will-help-you-market-your-restaurant-business.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-find-your-perfect-match-best-ai-software-for-small-businesses.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-gain-exposure-for-your-business-with-mapquest-business-listing.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-google-adwords-vs-facebook-ads.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-aged-domains-rank-within-search-engines.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-customer-service-touches-every-aspect-of-your-business.html","YES","YES","YES","YES","YES","NO","YES"
"pages\about-blog-how-effective-is-live-chat-on-your-website.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-information-technology-can-assist-with-online-business-success.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-local-businesses-can-get-the-word-out-about-their-brands.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-small-businesses-can-protect-themselves-from-fraud.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-achieve-a-greater-roi-on-your-marketing-campaign.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-become-a-better-problem-solver-in-your-business.html","YES","YES","YES","YES","YES","NO","NO"
"pages\about-blog-how-to-build-a-solid-reputation-through-your-marketing-strategy.html","YES","YES","YES","YES","YES","NO","NO"
