"Type","File","Line","Href","Expected Path","Message","Recommendation"
"broken","about/about-us.html","136","/webact-redesign/about/portfolio.html","webact-redesign/about/portfolio.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","136","/webact-redesign/contact/index.html","webact-redesign/contact/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","186","/webact-redesign/contact/index.html","webact-redesign/contact/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","186","/webact-redesign/design/index.html","webact-redesign/design/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","222","/webact-redesign/about/portfolio/little-caesars-pueblo/index.html","webact-redesign/about/portfolio/little-caesars-pueblo/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","223","/webact-redesign/about/portfolio/the-smilist/index.html","webact-redesign/about/portfolio/the-smilist/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","224","/webact-redesign/about/portfolio/parkingboxx/index.html","webact-redesign/about/portfolio/parkingboxx/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","225","/webact-redesign/about/portfolio/meadow-hills/index.html","webact-redesign/about/portfolio/meadow-hills/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","226","/webact-redesign/about/portfolio/tipping-hat/index.html","webact-redesign/about/portfolio/tipping-hat/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","227","/webact-redesign/about/portfolio/zaika-indian-cuisine/index.html","webact-redesign/about/portfolio/zaika-indian-cuisine/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","228","/webact-redesign/about/portfolio/kinetico-denver/index.html","webact-redesign/about/portfolio/kinetico-denver/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","229","/webact-redesign/about/portfolio/cowest-insurance-group/index.html","webact-redesign/about/portfolio/cowest-insurance-group/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","231","/webact-redesign/about/portfolio.html","webact-redesign/about/portfolio.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","243","/webact-redesign/digital-ads/index.html","webact-redesign/digital-ads/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","243","/webact-redesign/marketing/index.html","webact-redesign/marketing/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","285","/webact-redesign/about/portfolio.html","webact-redesign/about/portfolio.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/about-us.html","285","/webact-redesign/contact/index.html","webact-redesign/contact/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","203","/webact-redesign/contact/index.html","webact-redesign/contact/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","227","/webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","228","/webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","229","/webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","230","/webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","242","/webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","webact-redesign/about/blog/find-your-perfect-match-best-ai-software-for-small-businesses/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/5-saas-companies-your-business-should-know-about/index.html","webact-redesign/about/blog/5-saas-companies-your-business-should-know-about/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/domain-names-101/index.html","webact-redesign/about/blog/domain-names-101/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/domain-names-101/index.html","webact-redesign/about/blog/domain-names-101/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/domain-names-101/index.html","webact-redesign/about/blog/domain-names-101/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/features-that-will-help-you-market-your-restaurant-business/index.html","webact-redesign/about/blog/features-that-will-help-you-market-your-restaurant-business/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/features-that-will-help-you-market-your-restaurant-business/index.html","webact-redesign/about/blog/features-that-will-help-you-market-your-restaurant-business/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","webact-redesign/about/blog/how-customer-service-touches-every-aspect-of-your-business/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-small-businesses-can-protect-themselves-from-fraud/index.html","webact-redesign/about/blog/how-small-businesses-can-protect-themselves-from-fraud/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-small-businesses-can-protect-themselves-from-fraud/index.html","webact-redesign/about/blog/how-small-businesses-can-protect-themselves-from-fraud/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-get-a-higher-roi-on-your-advertising/index.html","webact-redesign/about/blog/how-to-get-a-higher-roi-on-your-advertising/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-get-the-exposure-you-need-for-your-website/index.html","webact-redesign/about/blog/how-to-get-the-exposure-you-need-for-your-website/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-get-the-exposure-you-need-for-your-website/index.html","webact-redesign/about/blog/how-to-get-the-exposure-you-need-for-your-website/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-get-the-exposure-you-need-for-your-website/index.html","webact-redesign/about/blog/how-to-get-the-exposure-you-need-for-your-website/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-make-content-your-customers-will-be-excited-to-read/index.html","webact-redesign/about/blog/how-to-make-content-your-customers-will-be-excited-to-read/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-make-content-your-customers-will-be-excited-to-read/index.html","webact-redesign/about/blog/how-to-make-content-your-customers-will-be-excited-to-read/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-make-content-your-customers-will-be-excited-to-read/index.html","webact-redesign/about/blog/how-to-make-content-your-customers-will-be-excited-to-read/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-market-your-restaurant-on-social-media/index.html","webact-redesign/about/blog/how-to-market-your-restaurant-on-social-media/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-turn-your-leads-into-reliable-customers/index.html","webact-redesign/about/blog/how-to-turn-your-leads-into-reliable-customers/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
"broken","about/blog.html","249","/webact-redesign/about/blog/how-to-turn-your-leads-into-reliable-customers/index.html","webact-redesign/about/blog/how-to-turn-your-leads-into-reliable-customers/index.html","Broken internal link.","Update the href to a page that exists, create the destination page, or remove the link."
