"File","Type","FrameworkPass","LinksPass","ImagesPass","SeoPass","Header","Footer","Routes","Navigation","Includes","TitleCount","H1Count","MetaDescription","Canonical","BrokenLinkCount","BrokenLinks","MissingImageCount","MissingImages","OverallPass"
"about\blog\how-to-build-a-solid-reputation-through-your-marketing-strategy\index.html","Blog","True","False","True","True","True","True","True","True","True","1","1","True","False","1"," https://www.drip.com/blog/marketing-automation/25-email-marketing-tips-for-beginners","0","","False"
"about\portfolio\a-dog-s-day-out\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","3","./industry/ | ./case-study.html?project= | ./case-study.html?project=","0","","False"
"about\portfolio\best-dental-website-designs\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","2","../ | ../","0","","False"
"about\portfolio\best-ecommerce-website-designs\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","2","../ | ../","0","","False"
"about\portfolio\best-law-firm-website-designs\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","2","../ | ../","0","","False"
"about\portfolio\best-restaurant-website-designs\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","2","../ | ../","0","","False"
"about\portfolio\best-roofing-website-designs\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","2","../ | ../","0","","False"
"about\portfolio\industry\automotive\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","8","../case-study.html?project=carwash-coupons | ../case-study.html?project=century-tire-inc | ../case-study.html?project=extreme-autoworks | ../case-study.html?project=carwash-coupons | ../case-study.html?project=century-tire-inc | ../case-study.html?project=extreme-autoworks | ../case-study.html?project=pork-chop-s-truck-and-auto | ../case-study.html?project=stephanie-ascari","0","","False"
"about\portfolio\industry\business\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","68","../case-study.html?project=all-go-transportation | ../case-study.html?project=andree-hudson-art | ../case-study.html?project=aspire-counseling | ../case-study.html?project=all-go-transportation | ../case-study.html?project=andree-hudson-art | ../case-study.html?project=aspire-counseling | ../case-study.html?project=aspire-hope-for-kids | ../case-study.html?project=board-game-republic | ../case-study.html?project=bruno-jambor | ../case-study.html?project=callahan-hayes | ../case-study.html?project=castle-rock | ../case-study.html?project=cowest-durango | ../case-study.html?project=ct-gasket | ../case-study.html?project=dads-of-parker | ../case-study.html?project=denver-issa | ../case-study.html?project=desert-empire | ../case-study.html?project=dominion-craftsman-services | ../case-study.html?project=dss-by-kat | ../case-study.html?project=dww | ../case-study.html?project=ed-prevost | ../case-study.html?project=epic-ivy | ../case-study.html?project=epleyer | ../case-study.html?project=express-shipping-room-supply | ../case-study.html?project=finding-the-fantastic | ../case-study.html?project=fine-arts-movement | ../case-study.html?project=fit-republic | ../case-study.html?project=fr-bumper-solutions | ../case-study.html?project=future-grasp | ../case-study.html?project=ghost-town-fitness | ../case-study.html?project=great-escape | ../case-study.html?project=has-tag-lab | ../case-study.html?project=hebert-investigations | ../case-study.html?project=hi-dessert-egg | ../case-study.html?project=housesketch | ../case-study.html?project=idt | ../case-study.html?project=insightifi | ../case-study.html?project=island-slider-guy | ../case-study.html?project=jack-lewis | ../case-study.html?project=karma-tour-hawaii | ../case-study.html?project=light-of-mine | ../case-study.html?project=linda-wang | ../case-study.html?project=little-caesars-pueblo | ../case-study.html?project=master-craft | ../case-study.html?project=meadow-hills | ../case-study.html?project=meditouch | ../case-study.html?project=molly-mulligan | ../case-study.html?project=mrad | ../case-study.html?project=okunade | ../case-study.html?project=parking-payment-validation-and-reservations | ../case-study.html?project=parkingboxx | ../case-study.html?project=partner-forces | ../case-study.html?project=perthes | ../case-study.html?project=photophobic-society-of-america | ../case-study.html?project=platinum-registration | ../case-study.html?project=pride-and-swagger | ../case-study.html?project=six-corners | ../case-study.html?project=southhall-investments | ../case-study.html?project=spring-fresh | ../case-study.html?project=sukoon | ../case-study.html?project=the-point | ../case-study.html?project=the-smilist | ../case-study.html?project=tipping-hat | ../case-study.html?project=trevey | ../case-study.html?project=turf-magic | ../case-study.html?project=vi-talderm-md | ../case-study.html?project=winston-c-throgmorton | ../case-study.html?project=yuma-airshow | ../case-study.html?project=z-xg","0","","False"
"about\portfolio\industry\dental\index.html","Portfolio","True","False","True","True","True","True","True","True","True","1","1","True","True","16","../case-study.html?project=benton-dental | ../case-study.html?project=dental-arts | ../case-study.html?project=dental-sleep-medicine | ../case-study.html?project=benton-dental | ../case-study.html?project=dental-arts | ../case-study.html?project=dental-sleep-medicine | ../case-study.html?project=dental-sleep-medicine-and-cranio-facial-pain | ../case-study.html?project=front-range-dentures | ../case-study.html?project=implant-excellence | ../case-study.html?project=liberty-lake-smile-source | ../case-study.html?project=miyazaki-dental | ../case-study.html?project=new-era-dental | ../case-study.html?project=peakview-dental | ../case-study.html?project=prosthoodontic-dentures | ../case-study.html?project=rostron-dental | ../case-study.html?project=washington-dental","0","","False"
